Date;X
01.12.1984;7.3
01.01.1985;7.3
01.02.1985;7.2
01.03.1985;7.2
01.04.1985;7.3
01.05.1985;7.2
01.06.1985;7.4
01.07.1985;7.4
01.08.1985;7.1
01.09.1985;7.1
01.10.1985;7.1
01.11.1985;7
01.12.1985;7
01.01.1986;6.7
01.02.1986;7.2
01.03.1986;7.2
01.04.1986;7.1
01.05.1986;7.2
01.06.1986;7.2
01.07.1986;7
01.08.1986;6.9
01.09.1986;7
01.10.1986;7
01.11.1986;6.9
01.12.1986;6.6
01.01.1987;6.6
01.02.1987;6.6
01.03.1987;6.6
01.04.1987;6.3
01.05.1987;6.3
01.06.1987;6.2
01.07.1987;6.1
01.08.1987;6
01.09.1987;5.9
01.10.1987;6
01.11.1987;5.8
01.12.1987;5.7
01.01.1988;5.7
01.02.1988;5.7
01.03.1988;5.7
01.04.1988;5.4
01.05.1988;5.6
01.06.1988;5.4
01.07.1988;5.4
01.08.1988;5.6
01.09.1988;5.4
01.10.1988;5.4
01.11.1988;5.3
01.12.1988;5.3
01.01.1989;5.4
01.02.1989;5.2
01.03.1989;5
01.04.1989;5.2
01.05.1989;5.2
01.06.1989;5.3
01.07.1989;5.2
01.08.1989;5.2
01.09.1989;5.3
01.10.1989;5.3
01.11.1989;5.4
01.12.1989;5.4
01.01.1990;5.4
01.02.1990;5.3
01.03.1990;5.2
01.04.1990;5.4
01.05.1990;5.4
01.06.1990;5.2
01.07.1990;5.5
01.08.1990;5.7
01.09.1990;5.9
01.10.1990;5.9
01.11.1990;6.2
01.12.1990;6.3
01.01.1991;6.4
01.02.1991;6.6
01.03.1991;6.8
01.04.1991;6.7
01.05.1991;6.9
01.06.1991;6.9
01.07.1991;6.8
01.08.1991;6.9
01.09.1991;6.9
01.10.1991;7
01.11.1991;7
01.12.1991;7.3
01.01.1992;7.3
01.02.1992;7.4
01.03.1992;7.4
01.04.1992;7.4
01.05.1992;7.6
01.06.1992;7.8
01.07.1992;7.7
01.08.1992;7.6
01.09.1992;7.6
01.10.1992;7.3
01.11.1992;7.4
01.12.1992;7.4
01.01.1993;7.3
01.02.1993;7.1
01.03.1993;7
01.04.1993;7.1
01.05.1993;7.1
01.06.1993;7
01.07.1993;6.9
01.08.1993;6.8
01.09.1993;6.7
01.10.1993;6.8
01.11.1993;6.6
01.12.1993;6.5
01.01.1994;6.6
01.02.1994;6.6
01.03.1994;6.5
01.04.1994;6.4
01.05.1994;6.1
01.06.1994;6.1
01.07.1994;6.1
01.08.1994;6
01.09.1994;5.9
01.10.1994;5.8
01.11.1994;5.6
01.12.1994;5.5
01.01.1995;5.6
01.02.1995;5.4
01.03.1995;5.4
01.04.1995;5.8
01.05.1995;5.6
01.06.1995;5.6
01.07.1995;5.7
01.08.1995;5.7
01.09.1995;5.6
01.10.1995;5.5
01.11.1995;5.6
01.12.1995;5.6
01.01.1996;5.6
01.02.1996;5.5
01.03.1996;5.5
01.04.1996;5.6
01.05.1996;5.6
01.06.1996;5.3
01.07.1996;5.5
01.08.1996;5.1
01.09.1996;5.2
01.10.1996;5.2
01.11.1996;5.4
01.12.1996;5.4
01.01.1997;5.3
01.02.1997;5.2
01.03.1997;5.2
01.04.1997;5.1
01.05.1997;4.9
01.06.1997;5
01.07.1997;4.9
01.08.1997;4.8
01.09.1997;4.9
01.10.1997;4.7
01.11.1997;4.6
01.12.1997;4.7
01.01.1998;4.6
01.02.1998;4.6
01.03.1998;4.7
01.04.1998;4.3
01.05.1998;4.4
01.06.1998;4.5
01.07.1998;4.5
01.08.1998;4.5
01.09.1998;4.6
01.10.1998;4.5
01.11.1998;4.4
01.12.1998;4.4
01.01.1999;4.3
01.02.1999;4.4
01.03.1999;4.2
01.04.1999;4.3
01.05.1999;4.2
01.06.1999;4.3
01.07.1999;4.3
01.08.1999;4.2
01.09.1999;4.2
01.10.1999;4.1
01.11.1999;4.1
01.12.1999;4
01.01.2000;4
01.02.2000;4.1
01.03.2000;4
01.04.2000;3.8
01.05.2000;4
01.06.2000;4
01.07.2000;4
01.08.2000;4.1
01.09.2000;3.9
01.10.2000;3.9
01.11.2000;3.9
01.12.2000;3.9
01.01.2001;4.2
01.02.2001;4.2
01.03.2001;4.3
01.04.2001;4.4
01.05.2001;4.3
01.06.2001;4.5
01.07.2001;4.6
01.08.2001;4.9
01.09.2001;5
01.10.2001;5.3
01.11.2001;5.5
01.12.2001;5.7
01.01.2002;5.7
01.02.2002;5.7
01.03.2002;5.7
01.04.2002;5.9
01.05.2002;5.8
01.06.2002;5.8
01.07.2002;5.8
01.08.2002;5.7
01.09.2002;5.7
01.10.2002;5.7
01.11.2002;5.9
01.12.2002;6
01.01.2003;5.8
01.02.2003;5.9
01.03.2003;5.9
01.04.2003;6
01.05.2003;6.1
01.06.2003;6.3
01.07.2003;6.2
01.08.2003;6.1
01.09.2003;6.1
01.10.2003;6
01.11.2003;5.8
01.12.2003;5.7
01.01.2004;5.7
01.02.2004;5.6
01.03.2004;5.8
01.04.2004;5.6
01.05.2004;5.6
01.06.2004;5.6
01.07.2004;5.5
01.08.2004;5.4
01.09.2004;5.4
01.10.2004;5.5
01.11.2004;5.4
01.12.2004;5.4
01.01.2005;5.3
01.02.2005;5.4
01.03.2005;5.2
01.04.2005;5.2
01.05.2005;5.1
01.06.2005;5
01.07.2005;5
01.08.2005;4.9
01.09.2005;5
01.10.2005;5
01.11.2005;5
01.12.2005;4.9
01.01.2006;4.7
01.02.2006;4.8
01.03.2006;4.7
01.04.2006;4.7
01.05.2006;4.6
01.06.2006;4.6
01.07.2006;4.7
01.08.2006;4.7
01.09.2006;4.5
01.10.2006;4.4
01.11.2006;4.5
01.12.2006;4.4
01.01.2007;4.6
01.02.2007;4.5
01.03.2007;4.4
01.04.2007;4.5
01.05.2007;4.4
01.06.2007;4.6
01.07.2007;4.7
01.08.2007;4.6
01.09.2007;4.7
01.10.2007;4.7
01.11.2007;4.7
01.12.2007;5
01.01.2008;5
01.02.2008;4.9
01.03.2008;5.1
01.04.2008;5
01.05.2008;5.4
01.06.2008;5.6
01.07.2008;5.8
01.08.2008;6.1
01.09.2008;6.1
01.10.2008;6.5
01.11.2008;6.8
01.12.2008;7.3
01.01.2009;7.8
01.02.2009;8.3
01.03.2009;8.7
01.04.2009;9
01.05.2009;9.4
01.06.2009;9.5
01.07.2009;9.5
01.08.2009;9.6
01.09.2009;9.8
01.10.2009;10
01.11.2009;9.9
01.12.2009;9.9
01.01.2010;9.8
01.02.2010;9.8
01.03.2010;9.9
01.04.2010;9.9
01.05.2010;9.6
01.06.2010;9.4
01.07.2010;9.4
01.08.2010;9.5
01.09.2010;9.5
01.10.2010;9.4
01.11.2010;9.8
01.12.2010;9.3
01.01.2011;9.2
01.02.2011;9
01.03.2011;9
01.04.2011;9.1
01.05.2011;9
01.06.2011;9.1
01.07.2011;9
01.08.2011;9
01.09.2011;9
01.10.2011;8.8
01.11.2011;8.6
01.12.2011;8.5
01.01.2012;8.3
01.02.2012;8.3
01.03.2012;8.2
01.04.2012;8.2
01.05.2012;8.2
01.06.2012;8.2
01.07.2012;8.2
01.08.2012;8
01.09.2012;7.8
01.10.2012;7.8
01.11.2012;7.7
01.12.2012;7.9
01.01.2013;8
01.02.2013;7.7
01.03.2013;7.5
01.04.2013;7.6
01.05.2013;7.5
01.06.2013;7.5
01.07.2013;7.3
01.08.2013;7.2
01.09.2013;7.2
01.10.2013;7.2
01.11.2013;7
01.12.2013;6.7
01.01.2014;6.6
01.02.2014;6.7
01.03.2014;6.6
01.04.2014;6.2
01.05.2014;6.3
01.06.2014;6.1
01.07.2014;6.2
01.08.2014;6.1
01.09.2014;5.9
01.10.2014;5.7
01.11.2014;5.8
01.12.2014;5.6
01.01.2015;5.7
01.02.2015;5.5
01.03.2015;5.5
01.04.2015;5.4
01.05.2015;5.5
01.06.2015;5.3
01.07.2015;5.3
01.08.2015;5.1
01.09.2015;5.1
01.10.2015;5
01.11.2015;5
